name,free_returns,items_sold,price,status,shipping
"OPI Gel Color - ""Suzi & The Artic Fox"", 0.5 Fl Oz - Purple",True,,900,New without box,0
Frosè Semi Permanent Hair Color 4 oz by Artic Fox,True,,1677,Brand New,592
Arctic Fox Semi Permanent Hair Dye 4 Fl Oz Blue Jean Baby New Sealed,True,,1125,New without box,400
Artic Fox neon moon Semi-Permanent Hair Color 8 Fl. Oz RARE ONLY ONE ON EBAY!,False,,1999,Brand New,900
TY beanie boos-Frost The attic Fox (Walgreens Exclusive) 6 Inch,False,,6600,Brand New,550
Squishmallow Faldette Blue Artic Fox Stuffed Animal Plush Doll Kellytoy 15” Toy,False,,2037,Pre-Owned,0
Arctic Fox Semi Permanent Hair Dye 4 Fl Oz Wrath New Sealed,True,,1125,New without box,400
Arctic Fox Semi Permanent Hair Dye 4 Fl Oz Ritual New Sealed,True,,1125,New without box,400
Arctic Fox Semi Permanent Hair Dye 4 Fl Oz Transylvania Silver New Sealed,True,,1125,New without box,400
"ARTIC FOX 'BLEACH, PLEASE Complete Hair Lightening Kit Vegan Cruelty Free",False,,2295,Brand New,0
Artic Fox Color Frose,False,,1250,New without box,560
New ListingCuddlekins artic fox,False,,1500,Pre-Owned,1400
Artic Fox Semi Permanent Hair Color - 8 oz SUNSET ORANGE,False,,1300,New without box,620
"LUXURY Artic Marble fox fur Vest Poncho  with Whole skins And  Leather, gift",False,,82000,Brand New,0
Women's bomber jacket with natural fox fur (milk color),False,,33500,Brand New,0
"LUXURY ARTIC Fox fur Jacket/coat with Whole skins, fur jacket,luxury fur,present",False,0,289900,Brand New,0
artic fox periwinkle hair dye,False,,1500,New without box,535
Frosè Semi Permanent Hair Color 4 oz by Artic Fox Vegan,True,,1999,New without box,0
Semi Permanent Hair Color Artic Fox  Wrath Bordeaux Furia  8fl,False,,1533,New without box,610
Squishmallow Travel Neck Pillow Melani The Artic Fox Series 1 Rare BNWT,False,,1550,Brand New,1085
Elf Pets Artic Fox,False,0,2300,Brand New,1265
Artic Fox neon moon Semi-Permanent Hair Color 8 Fl. Oz RARE ONLY ONE ON EBAY!,False,,2500,New without box,399
Squishville Six Mini Squishmallows Artic Squad Brand New In Box KellyToy Yeti,False,,3600,Brand New,1125
"Squishmallows Gracelynn the Artic Fox 4.5"" Scarf Christmas Holiday Winter NWT   ",False,,995,Brand New,400
"Wild Republic White Artic Fox 12"" Plush Stuffed Animal",True,,1039,Pre-Owned,617
Squishmallows 12” Nadine The Artic Fox w/Scarf Christmas Holiday Plush NWT,False,,1987,Brand New,0
 White Artic Fox UNIPAK Plush Stuffed Animal New ,True,,1299,Brand New,599
Squishmallow 12” Nadine The Artic Fox Plush Kellytoy New with Tag NWT,False,,2699,Brand New,0
"Squishmallow Faldette 16"" Blue Artic Fox Stuffed Animal Plush Doll Kellytoy 2022",False,,3595,Brand New,753
"LONG ARTIC Fox fur COAT, with Whole skins, fur jacket,luxury fur,Real fur, gift",False,0,430000,Brand New,0
Artic White Fox Winter Holiday Vintage Aluminium License Plate For Auto ATV Bike,False,,1499,Brand New,0
Douglas Cuddle Toys Porter Artic Fox DLux #2440 Stuffed Animal Toy,False,,3495,Brand New,0
"Squishmallow Faldette The Blue Artic Fox Cloudy Tye Dye Plush 2021 12"" NWT",False,,1350,Brand New,610
New ListingWild Republic Artic Fox White 12” Plush Stuffed Animal Toy 12228 New with Tags ,False,,599,Brand New,1260
NWT Real Fur Luxury Women Vest Natural Artic Fox Coat Jacket Black Size Xs/S,False,,40000,New (Other),1260
Artic fox aquamarine semi- permanent hair color  4 fl oz,False,,900,New without box,1557
ARCTIC ARMY BROWN PARKA BOMBER REAL FOX FUR PARKA HOOD JACKET OVERSIZE UNISEX BN,False,,5639,New (Other),5497
New ListingSquishmallow 8” Fifi Artic Fox Cuddle Buddy Plush Toy Doll,False,,999,Pre-Owned,1260
RARE Medium Ty Frost The Beanie Boo(Walgreens Exclusive),False,,9550,Pre-Owned,0
VINTAGE * Joseph J Stefani Furs* White & Brown Womens Soft Artic Fox Fur Coat S,False,,99500,Pre-Owned,1705
NWT Real Fur Luxury Women Vest Natural Artic Fox Coat Jacket Nude Khaki Size S/M,False,,40000,New (Other),1260
"New Kellytoy Squishmallow  8"" FIFI the pink artic fox Plush Toy",False,,1599,Brand New,525
Squishville Six Mini Squishmallows Artic Squad Brand New In Box KellyToy,False,0,3199,Brand New,610
"Squishmallows Squishville Artic Squad Nadine the Artic Fox 2""",False,,1095,Brand New,400
Planet Earth BBC 2006 Rare Artic Fox      EA,False,,1999,Brand New,1190
"Squishmallow Faldette 16"" Blue Artic Fox Stuffed Animal Plush Doll Kellytoy 2022",False,,2999,Brand New,798
artic fox frose hair dye 8oz,False,,1500,New without box,660
