name,free_returns,items_sold,price,status,shipping
Shop on eBay,False,,2000,Brand New,
Floppy Moving Fish Cat Toy Realistic Interactive Dancing Wiggle Catnip Toy Gift,True,,860,Brand New,
"53"" Sturdy Cat Tree Tower Activity Center Large Playing House Condo Rest Cat",True,,5458,Brand New,0
Suspender Body Stocking Bodysuit Fishnet Babydoll Sleepwear Lingerie Thigh-Highs,False,,414,Brand New,
Littlest Pet Shop Lot 10 Pcs Random Figures and 2 Accessories Authentic LPS,True,6435,2175,Pre-Owned,
Cat Laser Toy Automatic for Indoor Cats Motion Activated Interactive USB Charge,True,,1599,Brand New,
EPaw Collapsible Cat Tunnel Tube Interactive Indoor Cats Peek Hole Kitten Toys,True,,1299,Brand New,
"BAYER Seresto for Cats Flea and Tick Collar, prevention and Treat 8 Months",False,,1899,Brand New,
Cat Tree Condo Tower Scratcher Climbing Furniture w/Scratching Post&Toys,True,,4058,Brand New,0
Pet Cat Crazy Ball Disk Interactive Toys Amusement Plate Trilaminar Funny Toy,True,747,995,Brand New,
" 53"" Cat Tree Tower Activity Center Large Playing House Condo For Rest Sturdy ",True,,5458,Brand New,0
2x Cat Scratch Cardboard Catnip Scratching Pad Scratcher Lounge Sofa Bed Post,True,,1099,Brand New,0
"Cat Tree Tower 34"" STURDY Activity Center Large Playing House Condo For Rest & S",True,,4158,Brand New,0
PUMA Men's Neo Cat Unlicensed Motorsport Shoes,True,0,2999,Brand New,0
Yeowww! My Cats Balls Cat Toy 3-Pack,False,16,1426,Brand New,
3 Pack 2 USB Port Fast Car Charger Adapter for iPhone Samsung Android Cell Phone,True,,997,Brand New,
Rotatable Pet Catnip Ball Wall Toys Healthy Natural Cleaning Teeth for Cats Lick,True,,699,Brand New,
Donate for dinner cats,False,93,100,Brand New,0
Roblox Murder Mystery 2 MM2 Super Rare Godly Knives and Guns *FAST DELIVERY*,False,0,99,Brand New,0
Pop N’ Play Interactive Motion Cat Toy Feather & Mouse Teaser Kitty Intrigued,True,,1699,Brand New,0
NFR and MFR Pets only Neon and Mega's,False,47,200,Brand New,0
Littlest Pet Shop Lot 3 Random Blemished Kitten Cats Shorthair Persian Authentic,True,,1395,Pre-Owned,
"Cat Crack Catnip Premium Blend Safe for Cats, Infused with Maximum Potency 1 cup",False,,1299,Brand New,0
Cat Window Perch Hammock Seat Large Cats Cat Bed Shelves Furniture for Wall New,False,,1599,Brand New,
