name,free_returns,items_sold,price,status,shipping
Shop on eBay,False,,2000,Brand New,
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XXL,True,,594,Brand New,
2-PK Cat DOG PET PAW SAFE Seatbelt Car Seat Belt Adjustable Harness Lead 5 STARS,True,1042,995,Brand New,
Roblox Murder Mystery 2 MM2 Super Rare Godly Knives and Guns *FAST DELIVERY*,False,0,99,Brand New,0
2725 FT Dog Training US Collar Rechargeable Remote Shock  PET Waterproof Trainer,True,,2595,Brand New,0
Dog Training Collar Rechargeable Remote Control Electric Pet Shock Vibration,True,,2099,Brand New,299
100 used tennis balls  LOW COST DOGGIE BALLS -  FREE SHIP - SAVE 10%,True,,3895,Pre-Owned,0
Pet Dog Vest Jacket Warm Waterproof Clothes Winter Padded Coat  Small/Large US,False,215,759,Brand New,0
4 Leg Pet Dog Clothes Cat Puppy Coat Sports Hoodies Warm Sweater Jacket Clothing,False,,649,New (Other),0
Roblox Murder Mystery 2 MM2 Super Rare Chroma Knives and Guns *FAST DELIVERY*,False,112,99,Brand New,0
100 Used Tennis Balls   SHIPS TODAY Support Recycleballs non-profit,True,,3895,Pre-Owned,0
✨Adopt Me Pets Fly Ride Fr Neon NFR Mega MFR | Cheap Prices | Same Day Delivery✨,False,24,99,Brand New,
Pet Dog Cat Warm Sweater Vest Fleece Coat Jacket Puppy T-shirt Clothes Costume,False,,249,Brand New,0
Skylanders SWAP FORCE COMPLETE YOUR COLLECTION Buy 3 get 1 Free! *$6 Minimum* 🎼,False,45,99,Pre-Owned,0
Custom Dog collar leather personalized Brass Name Plate  small medium large dog,False,,998,Brand New,0
Tactical Dog Harness with Handle No-pull Large Military Dog Vest US Working Dog,True,0,1263,Brand New,0
Dog LED Collar Blinking Night Flashing Light Up Glow Adjustable Pets Safety USA,False,,400,Brand New,
NFR and MFR Pets only Neon and Mega's,False,18,200,Brand New,0
Soft Leather Personalized Dog Collar ID Tag Engraved for Small Medium Large Dogs,True,,699,Brand New,0
Littlest Pet Shop Lot 12 Pc Random House Mini Playset Dog or Cat and Accessories,True,,1495,Pre-Owned,395
Cat Dog Pet Harness Adjustable Control Vest Dogs Reflective S M L XL leash,False,,699,Brand New,
Dog Man Unleashed (Dog Man #2): From the Creator of Captain Underpants - GOOD,True,,409,Pre-Owned,0
Pet Puppy Dog Cat Warm Sweater Vest Knitted Clothes Winter Coat Apparel Clothes,True,,788,New (Other),0
Dog Shirt Adidog Dog SweatShirt Clothes Warm Hoodie Coat Hooded Sweatshirt NEW ,False,,699,Brand New,0
Waterproof winter dog warmer coat Vest jacket dog warm clothes padded Large dogs,False,,979,Brand New,0
Skylanders GIANTS COMPLETE YOUR COLLECTION Buy 3 get 1 Free! *$6 Minimum*🎼,False,384,99,Pre-Owned,0
Small Dog Breathable Mesh harness Vest Collar soft chest strap XXS-L Leash set ,True,,798,Brand New,0
Littlest Pet Shop Lot 12 Random Animals w 1 Dog Cat Authentic Lps BUY3 GET 1FREE,True,,2735,Pre-Owned,
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4) - GOOD,True,,418,Pre-Owned,0
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XXL,True,,589,Brand New,0
SEATBELT LEASH Dog Pet Car Safety Belt Harness Collar Restraint Lead Adjustable,True,,555,Brand New,
Service Dog Vest Harness Canine Lightweight Reflective Adjustable XXS - XL Sizes,True,0,2069,Brand New,
Premium LED Dog Collar USB Rechargeable bright lighted blinking modes ,True,,1299,Brand New,0
"Dog Man #8 - Hardcover By Pilkey, Dav - GOOD",True,,486,Pre-Owned,0
Adopt Me Pets Shop-MEGA NEON FLY RIDE MFR NFR FR Legendary Pets- CHEAP AND TRUST,False,37,489,Brand New,0
"1 2 4 5 up to  25 used TENNIS BALLS in good condition!Great for DOG TOYS,WALKERS",False,198,435,Pre-Owned,0
2 Leg Pet Dog Clothes Cat Puppy Coat Winter Hoodies Warm Sweater Jacket Clothing,False,,549,New (Other),0
If You Give a Dog a Donut - Paperback By Laura  Numeroff - GOOD,True,,359,Pre-Owned,0
Pet Dollar Store ... all items between $1-$1.99,False,,100,Brand New,0
Tactical Dog Harness with Handle No-pull Large Military Dog Vest US Working Dog,False,,2598,Brand New,0
Pet Control Harness for Dog Cat Soft DOUBLE Mesh Walk Collar Safety Strap Vest,True,250,752,Brand New,
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog  - GOOD,True,,416,Pre-Owned,0
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XXL,False,108,895,Brand New,
"20, 50, or 100 Used Tennis Balls - Great for Dog Toys!",True,,1595,Pre-Owned,0
Dog Man: From the Creator of Captain Underpants (Dog Man #1) - Hardcover - GOOD,True,,429,Pre-Owned,0
